,stop_id,train,stop_name,stop_lat,stop_lon,node_id
0,101,1,Van Cortlandt Park-242 St,40.889248,-73.898583,101_1
1,103,1,238 St,40.884667,-73.90087,103_1
2,104,1,231 St,40.878856,-73.904834,104_1
3,106,1,Marble Hill-225 St,40.874561,-73.909831,106_1
4,107,1,215 St,40.869444,-73.915279,107_1
5,108,1,207 St,40.864621,-73.918822,108_1
6,109,1,Dyckman St,40.860531,-73.925536,109_1
7,110,1,191 St,40.855225,-73.929412,110_1
8,111,1,181 St,40.849505,-73.933596,111_1
9,112,1,168 St-Washington Hts,40.840556,-73.940133,112_1
10,113,1,157 St,40.834041,-73.94489,113_1
11,114,1,145 St,40.826551,-73.95036,114_1
12,115,1,137 St-City College,40.822008,-73.953676,115_1
13,116,1,125 St,40.815581,-73.958372,116_1
14,117,1,116 St-Columbia University,40.807722,-73.96411,117_1
15,118,1,Cathedral Pkwy (110 St),40.803967,-73.966847,118_1
16,119,1,103 St,40.799446,-73.968379,119_1
17,120,1,96 St,40.793919,-73.972323,120_1
18,121,1,86 St,40.788644,-73.976218,121_1
19,122,1,79 St,40.783934,-73.979917,122_1
20,123,1,72 St,40.778453,-73.98197,123_1
21,124,1,66 St-Lincoln Center,40.77344,-73.982209,124_1
22,125,1,59 St-Columbus Circle,40.768247,-73.981929,125_1
23,126,1,50 St,40.761728,-73.983849,126_1
24,127,1,Times Sq-42 St,40.75529,-73.987495,127_1
25,128,1,34 St-Penn Station,40.750373,-73.991057,128_1
26,129,1,28 St,40.747215,-73.993365,129_1
27,130,1,23 St,40.744081,-73.995657,130_1
28,131,1,18 St,40.74104,-73.997871,131_1
29,132,1,14 St,40.737826,-74.000201,132_1
30,133,1,Christopher St-Sheridan Sq,40.733422,-74.002906,133_1
31,134,1,Houston St,40.728251,-74.005367,134_1
32,135,1,Canal St,40.722854,-74.006277,135_1
33,136,1,Franklin St,40.719318,-74.006886,136_1
34,137,1,Chambers St,40.715478,-74.009266,137_1
35,138,1,WTC Cortlandt,40.711835,-74.012188,138_1
36,139,1,Rector St,40.707513,-74.013783,139_1
37,142,1,South Ferry,40.702068,-74.013664,142_1
38,120,2,96 St,40.793919,-73.972323,120_2
39,121,2,86 St,40.788644,-73.976218,121_2
40,122,2,79 St,40.783934,-73.979917,122_2
41,123,2,72 St,40.778453,-73.98197,123_2
42,124,2,66 St-Lincoln Center,40.77344,-73.982209,124_2
43,125,2,59 St-Columbus Circle,40.768247,-73.981929,125_2
44,126,2,50 St,40.761728,-73.983849,126_2
45,127,2,Times Sq-42 St,40.75529,-73.987495,127_2
46,128,2,34 St-Penn Station,40.750373,-73.991057,128_2
47,129,2,28 St,40.747215,-73.993365,129_2
48,130,2,23 St,40.744081,-73.995657,130_2
49,131,2,18 St,40.74104,-73.997871,131_2
50,132,2,14 St,40.737826,-74.000201,132_2
51,133,2,Christopher St-Sheridan Sq,40.733422,-74.002906,133_2
52,134,2,Houston St,40.728251,-74.005367,134_2
53,135,2,Canal St,40.722854,-74.006277,135_2
54,136,2,Franklin St,40.719318,-74.006886,136_2
55,137,2,Chambers St,40.715478,-74.009266,137_2
56,201,2,Wakefield-241 St,40.903125,-73.85062,201_2
57,204,2,Nereid Av,40.898379,-73.854376,204_2
58,205,2,233 St,40.893193,-73.857473,205_2
59,206,2,225 St,40.888022,-73.860341,206_2
60,207,2,219 St,40.883895,-73.862633,207_2
61,208,2,Gun Hill Rd,40.87785,-73.866256,208_2
62,209,2,Burke Av,40.871356,-73.867164,209_2
63,210,2,Allerton Av,40.865462,-73.867352,210_2
64,211,2,Pelham Pkwy,40.857192,-73.867615,211_2
65,212,2,Bronx Park East,40.848828,-73.868457,212_2
66,213,2,E 180 St,40.841894,-73.873488,213_2
67,214,2,West Farms Sq-E Tremont Av,40.840295,-73.880049,214_2
68,215,2,174 St,40.837288,-73.887734,215_2
69,216,2,Freeman St,40.829993,-73.891865,216_2
70,217,2,Simpson St,40.824073,-73.893064,217_2
71,218,2,Intervale Av,40.822181,-73.896736,218_2
72,219,2,Prospect Av,40.819585,-73.90177,219_2
73,220,2,Jackson Av,40.81649,-73.907807,220_2
74,221,2,3 Av-149 St,40.816109,-73.917757,221_2
75,222,2,149 St-Grand Concourse,40.81841,-73.926718,222_2
76,224,2,135 St,40.814229,-73.94077,224_2
77,225,2,125 St,40.807754,-73.945495,225_2
78,226,2,116 St,40.802098,-73.949625,226_2
79,227,2,Central Park North (110 St),40.799075,-73.951822,227_2
80,228,2,Park Place,40.713051,-74.008811,228_2
81,229,2,Fulton St,40.709416,-74.006571,229_2
82,230,2,Wall St,40.706821,-74.0091,230_2
83,231,2,Clark St,40.697466,-73.993086,231_2
