,stop_id,train,stop_name,stop_lat,stop_lon,node_id,master_node_id
0,101,1,Van Cortlandt Park-242 St,40.889248,-73.898583,101_1,Van Cortlandt Park-242 St_0
1,103,1,238 St,40.884667,-73.90087,103_1,238 St_0
2,104,1,231 St,40.878856,-73.904834,104_1,231 St_0
3,106,1,Marble Hill-225 St,40.874561,-73.909831,106_1,Marble Hill-225 St_0
4,107,1,215 St,40.869444,-73.915279,107_1,215 St_0
5,108,1,207 St,40.864621,-73.918822,108_1,207 St_0
6,109,1,Dyckman St,40.860531,-73.925536,109_1,Dyckman St_0
7,110,1,191 St,40.855225,-73.929412,110_1,191 St_0
8,111,1,181 St,40.849505,-73.933596,111_1,181 St_0
9,112,1,168 St-Washington Hts,40.840556,-73.940133,112_1,168 St-Washington Hts_0
10,113,1,157 St,40.834041,-73.94489,113_1,157 St_0
11,114,1,145 St,40.826551,-73.95036,114_1,145 St_1
12,115,1,137 St-City College,40.822008,-73.953676,115_1,137 St-City College_0
13,116,1,125 St,40.815581,-73.958372,116_1,125 St_0
14,117,1,116 St-Columbia University,40.807722,-73.96411,117_1,116 St-Columbia University_0
15,118,1,Cathedral Pkwy (110 St),40.803967,-73.966847,118_1,Cathedral Pkwy (110 St)_0
16,119,1,103 St,40.799446,-73.968379,119_1,103 St_0
17,120,1,96 St,40.793919,-73.972323,120_1,96 St_0
18,121,1,86 St,40.788644,-73.976218,121_1,86 St_0
19,122,1,79 St,40.783934,-73.979917,122_1,79 St_0
20,123,1,72 St,40.778453,-73.98197,123_1,72 St_0
21,124,1,66 St-Lincoln Center,40.77344,-73.982209,124_1,66 St-Lincoln Center_0
22,125,1,59 St-Columbus Circle,40.768247,-73.981929,125_1,59 St-Columbus Circle_0
23,126,1,50 St,40.761728,-73.983849,126_1,50 St_0
24,127,1,Times Sq-42 St,40.75529,-73.987495,127_1,Times Sq-42 St_0
25,128,1,34 St-Penn Station,40.750373,-73.991057,128_1,34 St-Penn Station_0
26,129,1,28 St,40.747215,-73.993365,129_1,28 St_0
27,130,1,23 St,40.744081,-73.995657,130_1,23 St_0
28,131,1,18 St,40.74104,-73.997871,131_1,18 St_0
29,132,1,14 St,40.737826,-74.000201,132_1,14 St_0
30,133,1,Christopher St-Sheridan Sq,40.733422,-74.002906,133_1,Christopher St-Sheridan Sq_0
