,starttime,stoptime,start station id,end station id,start station latitude,start station longitude,end station latitude,end station longitude,start station name,end station name,tripid,tripduration
1,2022-09-05 00:06:00,2022-09-05 00:07:30,101S,103S,40.889247999999995,-73.898583,40.884667,-73.90087,Van Cortlandt Park-242 St,238 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
2,2022-09-05 00:07:30,2022-09-05 00:09:00,103S,104S,40.884667,-73.90087,40.878856,-73.904834,238 St,231 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
3,2022-09-05 00:09:00,2022-09-05 00:10:30,104S,106S,40.878856,-73.904834,40.874561,-73.90983100000001,231 St,Marble Hill-225 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
4,2022-09-05 00:10:30,2022-09-05 00:12:00,106S,107S,40.874561,-73.90983100000001,40.869444,-73.915279,Marble Hill-225 St,215 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
5,2022-09-05 00:12:00,2022-09-05 00:13:00,107S,108S,40.869444,-73.915279,40.864621,-73.91882199999999,215 St,207 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,60
6,2022-09-05 00:13:00,2022-09-05 00:14:30,108S,109S,40.864621,-73.91882199999999,40.860531,-73.925536,207 St,Dyckman St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
7,2022-09-05 00:14:30,2022-09-05 00:16:00,109S,110S,40.860531,-73.925536,40.855225,-73.929412,Dyckman St,191 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
8,2022-09-05 00:16:00,2022-09-05 00:17:30,110S,111S,40.855225,-73.929412,40.849505,-73.933596,191 St,181 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
9,2022-09-05 00:17:30,2022-09-05 00:19:30,111S,112S,40.849505,-73.933596,40.840556,-73.94013299999999,181 St,168 St-Washington Hts,ASP22GEN-1037-Sunday-00_000600_1..S03R,120
10,2022-09-05 00:19:30,2022-09-05 00:21:00,112S,113S,40.840556,-73.94013299999999,40.834041,-73.94489,168 St-Washington Hts,157 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
11,2022-09-05 00:21:00,2022-09-05 00:23:00,113S,114S,40.834041,-73.94489,40.826551,-73.95036,157 St,145 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,120
12,2022-09-05 00:23:00,2022-09-05 00:24:30,114S,115S,40.826551,-73.95036,40.822008000000004,-73.953676,145 St,137 St-City College,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
13,2022-09-05 00:24:30,2022-09-05 00:26:00,115S,116S,40.822008000000004,-73.953676,40.815581,-73.958372,137 St-City College,125 St,ASP22GEN-1037-Sunday-00_000600_1..S03R,90
14,2022-09-05 00:26:00,2022-09-05 00:28:30,116S,117S,40.815581,-73.958372,40.807722,-73.96410999999999,125 St,116 St-Columbia University,ASP22GEN-1037-Sunday-00_000600_1..S03R,150
15,2022-09-05 00:28:30,2022-09-05 00:29:30,117S,118S,40.807722,-73.96410999999999,40.803967,-73.966847,116 St-Columbia University,Cathedral Pkwy (110 St),ASP22GEN-1037-Sunday-00_000600_1..S03R,60
